Case ID,"Sex (M=1, F=2)",SES
1,2,1
2,1,3
3,1,1
4,1,1
5,2,2
6,1,1
7,2,2
8,2,1
9,2,2
10,1,1
11,2,2
12,1,2
13,1,3
14,2,2
15,1,1
16,2,1
17,2,1
18,2,3
19,2,4
20,1,3
21,2,3
22,2,3
23,2,3
24,2,3
25,2,1
26,2,3
27,2,2
28,1,3
29,1,3
30,2,2
31,1,1
32,1,2
33,1,2
34,2,1
35,1,3
36,1,1
37,2,1
38,2,1
39,1,3
40,2,1
41,2,3
42,2,3
43,1,1
44,1,3
45,2,1
46,1,4
47,2,2
48,2,2
49,1,4
50,2,1
51,2,4
52,1,3
53,2,3
54,2,3
55,2,3
56,1,2
57,1,2
58,1,3
59,2,1
60,2,3
61,2,2
62,2,2
63,2,2
64,2,2
65,2,1
66,2,2
67,2,1
68,1,4
69,1,3
70,2,4
71,1,1
72,1,1
73,2,1
74,1,1
75,2,3
76,2,3
77,2,2
78,2,2
79,2,3
80,1,2
81,1,3
82,1,2
83,2,3
84,1,3
85,2,2
86,1,2
87,2,1
88,1,2
89,1,1
90,2,1
91,2,1
92,2,2
93,2,3
94,1,2
95,2,3
96,2,1
97,2,1
98,2,1
99,1,4
100,2,3
101,1,2
102,1,3
103,2,2
104,2,3
105,1,4
106,2,2
107,2,1
108,1,2
109,1,1
110,2,1
111,1,3
112,2,3
113,2,2
114,2,1
115,2,3
116,2,1
117,2,3
118,1,1
119,1,1
120,2,3
121,1,3
122,2,3
123,2,1
124,2,1
125,2,2
126,2,1
127,1,1
128,1,1
129,1,2
130,1,2
131,1,3
132,2,2
133,1,3
134,1,3
135,2,3
136,2,1
137,2,1
138,1,1
139,2,1
140,2,1
141,2,3
142,1,1
143,2,3
144,1,3
145,2,1
146,2,1
147,2,1
148,1,2
149,2,3
150,2,1
151,1,3
152,2,1
153,2,1
154,2,2
155,2,2
156,2,2
157,2,1
158,2,1
159,2,1
160,2,2
161,2,2
162,2,3
163,1,3
164,2,3
165,1,2
166,1,1
167,1,1
168,2,1
169,2,1
170,1,3
171,2,4
172,1,1
173,1,3
174,2,1
175,2,1
176,2,2
177,1,3
178,2,1
179,2,1
180,2,1
181,2,1
182,1,2
183,2,3
184,2,1
185,2,2
186,1,1
187,2,1
188,2,3
189,2,1
190,2,1
191,2,2
192,2,2
193,2,2
194,1,2
195,1,1
196,2,1
197,1,1
198,1,1
199,1,1
200,1,2
201,1,1
202,1,1
203,2,1
204,1,3
205,2,3
206,1,3
207,1,2
208,1,1
209,1,1
210,1,2
211,1,3
212,2,3
213,2,1
214,1,1
215,1,3
216,2,1
217,1,1
218,1,3
219,1,2
220,1,1
221,1,2
222,1,1
223,2,4
224,2,3
225,1,4
226,1,1
227,2,1
228,1,4
229,1,2
230,1,3
231,1,1
232,2,1
233,2,1
234,2,2
235,2,3
236,2,1
237,2,1
238,2,4
239,1,4
240,2,1
241,2,2
242,2,2
243,2,3
244,2,3
245,2,3
246,2,4
247,2,4
248,1,1
249,2,1
250,2,2
251,2,2
252,2,3
253,2,3
254,2,1
255,1,4
256,1,3
257,1,1
258,2,1
259,1,2
260,2,2
261,2,2
262,1,2
263,2,2
264,2,1
265,2,3
266,2,3
267,2,2
268,2,3
269,2,2
270,2,2
271,2,2
272,2,1
273,1,1
274,2,2
275,2,1
276,2,2
277,2,3
278,2,2
279,2,4
280,1,2
281,2,2
282,1,2
283,2,3
284,2,1
285,2,1
286,1,3
287,2,3
288,2,2
289,2,1
290,2,3
291,2,1
292,1,4
293,1,1
294,2,1
295,2,1
296,1,2
297,2,2
298,2,1
299,2,1
300,1,1
301,2,1
302,2,1
303,2,1
304,1,1
305,2,2
306,2,1
307,2,3
308,2,1
309,2,2
310,2,3
311,2,2
312,2,2
313,2,2
314,1,3
315,2,3
316,2,1
317,2,2
318,1,3
319,2,1
320,2,2
321,2,2
322,2,1
323,2,3
324,1,3
325,2,2
326,2,1
327,2,1
328,2,4
329,1,1
330,1,1
331,2,1
332,2,2
333,1,1
334,1,2
335,1,2
336,2,3
337,1,1
338,1,1
339,2,2
340,1,2
341,1,2
342,1,2
343,2,1
344,1,3
345,1,1
346,2,2
347,2,2
348,2,3
349,1,2
350,2,4
351,2,3
352,2,1
353,1,3
354,1,1
355,2,3
356,2,1
357,2,4
358,1,2
359,2,2
360,2,4
361,1,2
362,2,2
363,1,2
364,2,1
365,1,1
366,1,3
367,1,1
368,2,1
369,2,4
370,2,3
371,1,1
372,2,2
373,1,1
374,2,1
375,1,4
376,2,2
377,2,1
378,1,2
379,1,4
380,2,2
381,2,3
382,1,3
383,2,3
384,2,2
385,2,2
386,2,1
387,1,3
388,1,4
389,2,4
390,2,4
391,1,3
392,1,4
393,2,2
394,2,2
395,2,1
396,2,1
397,2,1
398,2,1
399,1,1
400,2,1
401,2,3
402,1,4
403,2,3
404,2,4
405,2,2
406,2,1
407,1,3
408,2,2
409,2,3
410,1,2
411,1,2
412,2,1
413,1,1
414,2,2
415,2,2
416,2,2
417,1,1
418,1,1
419,2,1
420,1,1
421,2,2
422,1,2
423,2,1
424,2,3
425,2,1
426,2,1
427,2,1
428,2,3
429,2,3
430,2,2
431,2,1
432,2,1
433,1,1
434,1,1
435,1,3
436,2,1
437,2,3
438,1,2
439,2,2
440,2,3
441,1,3
442,2,2
443,2,3
444,2,1
445,2,1
446,2,2
447,1,3
448,1,2
449,2,2
450,2,1
451,2,1
452,2,2
453,1,3
454,2,1
455,2,1
456,2,2
457,2,1
458,2,1
459,2,1
460,2,2
461,2,1
462,2,1
463,1,4
464,2,1
465,2,3
466,2,3
467,1,2
468,2,2
469,2,3
470,1,2
471,2,1
472,2,2
473,1,3
474,1,3
475,2,3
476,2,2
477,2,1
478,2,1
479,2,2
480,1,1
481,2,1
482,1,1
483,1,2
484,1,3
485,2,1
486,2,3
487,2,2
488,1,3
489,1,2
490,2,1
491,2,1
492,2,1
493,1,4
494,2,3
495,1,3
496,2,2
497,1,2
498,1,4
499,2,2
500,2,2
501,2,1
502,1,4
503,2,2
504,1,1
505,2,1
506,2,1
507,2,1
508,2,1
509,2,2
510,1,2
511,2,1
512,2,2
513,2,3
514,2,2
515,2,1
516,2,2
517,2,4
518,2,1
519,2,1
520,2,1
521,1,3
522,2,1
523,2,2
524,1,1
525,1,1
526,2,1
527,2,1
528,2,1
529,2,3
530,2,1
531,2,1
532,1,2
